Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
Merck,"Kenilworth, New Jersey, United States",Active,For Profit,21.0,5.0,2.0,9.0,2.0,2.0,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Medical, Pharmaceutical",2.0,IPO,2018-11-25,586000.0,USD,586000.0,Post-IPO Equity,Post-IPO Equity,586000.0,USD,586000.0,5586000.0,USD,5586000.0,7.0,815.097,"915,241.33",1.961,1041642194.0,USD,1041642194.0,"Gavi, the Vaccine Alliance, Private Capital Advisors"
Hex Technologies,"San Francisco, California, United States",Active,For Profit,,,,,3.0,17.0,"Data and Analytics, Software","Analytics, Big Data, Business Intelligence, Software",3.0,Early Stage Venture,2022-03-22,52000000.0,USD,52000000.0,Series B,Series B,52000000.0,USD,52000000.0,73500000.0,USD,73500000.0,,43.117,62.319,266.0,,,,"Andreessen Horowitz, Snowflake, BoxGroup, Redpoint, XYZ Venture Capital"
MercadoLibre,"Buenos Aires, Distrito Federal, Argentina",Active,For Profit,3.0,2.0,,,4.0,10.0,"Commerce and Shopping, Internet Services, Sales and Marketing","E-Commerce, Internet, Marketing, Marketplace",6.0,M&A,2021-11-16,1600000000.0,USD,1600000000.0,Post-IPO Equity,Post-IPO Equity,1600000000.0,USD,1600000000.0,3606600000.0,USD,3606600000.0,,"21,132,854","19,418,782.67",253.0,,,,"JP Morgan Chase, Goldman Sachs, PayPal, Tiger Global Management, Dragoneer Investment Group"
Practo,"Bangalore, Karnataka, India",Active,For Profit,,,,,5.0,14.0,"Apps, Health Care, Mobile, Software","Health Care, Health Diagnostics, Medical, mHealth, Mobile Apps, Pharmaceutical, Wellness",7.0,Late Stage Venture,2020-08-15,32000000.0,USD,32000000.0,Series D,Series D,32000000.0,USD,32000000.0,228246376.0,USD,228246376.0,,"10,946,568","12,816,835.17",359.0,,,,"Tencent, Sequoia Capital, Matrix Partners, Sequoia Capital India, Matrix Partners India"
RiseUp,"Tel Aviv, Tel Aviv, Israel",Active,For Profit,,,,,2.0,8.0,"Apps, Financial Services, Mobile, Software","Finance, Financial Services, FinTech, Mobile Apps",3.0,Early Stage Venture,2022-04-12,30000000.0,USD,30000000.0,Series B,Series B,30000000.0,USD,30000000.0,30000000.0,USD,30000000.0,,489.389,"108,784.83",1.565,,,,"500 Startups, Corner Ventures, Aleph, Latitude Ventures, Ronald Cohen"
Novo,"Miami, Florida, United States",Active,For Profit,,,,,5.0,17.0,"Financial Services, Lending and Investments","Banking, Financial Services, FinTech",8.0,Early Stage Venture,2022-01-11,90000000.0,USD,90000000.0,Series B,Series B,90000000.0,USD,90000000.0,135500000.0,USD,135500000.0,8.0,"1,135,709","347,490.33",459.0,,,,"Techstars, BoxGroup, RRE Ventures, Stripes, Hack VC"
Huobi,"Beijing, Beijing, China",Active,For Profit,26.0,5.0,3.0,2.0,,4.0,"Financial Services, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech",5.0,,2020-12-01,,,,Initial Coin Offering,Initial Coin Offering,,,,2000000.0,USD,2000000.0,2.0,"4,656,949","8,042,290.83",988.0,,,,"ICONIUM, ZhenFund, Node Capital, Karnika Yashwant"
Payrails,"Berlin, Berlin, Germany",Active,For Profit,,,,,1.0,7.0,"Financial Services, Mobile, Payments, Software","Developer APIs, Enterprise Software, Financial Services, Mobile Payments, Payments",1.0,Seed,2022-03-17,5700000.0,EUR,6326514.0,Seed,Seed,5700000.0,EUR,6326514.0,5700000.0,EUR,6326515.0,,16.697,,1.0,,,,"Andreessen Horowitz, HV Capital, Jochen Engert, Dominik Richter, Daniel Krauss"
ReViral,"Stevenage, Herefordshire, United Kingdom",Active,For Profit,,,,,5.0,9.0,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Medical, Therapeutics",4.0,M&A,2020-08-25,44000000.0,USD,44000000.0,Series C,Series C,44000000.0,USD,44000000.0,121000000.0,USD,121000000.0,,939,,0.0,,USD,,"Novo Holdings, Perceptive Advisors, OrbiMed, Andera Partners, New Leaf Venture Partners"
QuintoAndar,"Ṣo Paulo, Sao Paulo, Brazil",Active,For Profit,,,,,7.0,28.0,"Commerce and Shopping, Internet Services, Real Estate, Software","Internet, Property Management, Real Estate, Rental, Software",8.0,Late Stage Venture,2021-08-19,120000000.0,USD,120000000.0,Series E,Series E,120000000.0,USD,120000000.0,755270292.0,USD,755270292.0,,"4,908,598","3,493,171",702.0,,,,"Tencent, SoftBank, Qualcomm Ventures, QED Investors, General Atlantic"
Onfido,"London, England, United Kingdom",Active,For Profit,,,,,10.0,36.0,"Financial Services, Information Technology, Privacy and Security, Software","FinTech, Identity Management, Information Technology, Software",16.0,Late Stage Venture,2020-08-18,5000000.0,GBP,6626422.0,Grant,Series D,100000000.0,USD,100000000.0,188762927.0,USD,188762927.0,15.0,"1,092,244","387,028.33",584.0,13642857.0,USD,13642857.0,"Eurazeo, Augmentum Fintech, Fin Venture Capital, Acequia Capital (AceCap), Plug and Play Tech Center"
Interos,"Arlington, Virginia, United States",Active,For Profit,,,,,5.0,7.0,"Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software, Transportation","Artificial Intelligence, Cyber Security, Risk Management, SaaS, Supply Chain Management",5.0,,2021-12-16,6500000.0,USD,6500000.0,Undisclosed,Undisclosed,6500000.0,USD,6500000.0,134850000.0,USD,134850000.0,,70.92,57.764,1.863,,,,"Venrock, Synetro Group, Kleiner Perkins, Accenture Ventures, Broadway Angels"
Pandora,"Oakland, California, United States",Active,For Profit,,,,,6.0,24.0,"Advertising, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Music and Audio, Navigation and Mapping, Other, Sales and Marketing, Video","Advertising, Broadcasting, Internet, Internet Radio, Music, Navigation, Technical Support, Video Streaming",11.0,M&A,2017-06-09,480000000.0,USD,480000000.0,Post-IPO Equity,Post-IPO Equity,480000000.0,USD,480000000.0,750309362.0,USD,750309362.0,16.0,"25,319,103","21,311,560.17",712.0,38369.0,USD,38369.0,"Greylock, Slow Ventures, Crosslink Capital, GGV Capital, Kohlberg Kravis Roberts"
Rivian,"Plymouth, Michigan, United States",Active,For Profit,,,,,7.0,19.0,"Manufacturing, Transportation","Automotive, Electric Vehicle, Manufacturing, Transportation",10.0,IPO,2021-07-23,2500000000.0,USD,2500000000.0,Private Equity,Private Equity,2500000000.0,USD,2500000000.0,10701250000.0,USD,10701250000.0,1.0,"2,473,447","2,251,544.33",334.0,23233533.0,USD,23233533.0,"BlackRock, T. Rowe Price, Amazon, Coatue, Fidelity Management and Research Company"
Orca Security,"Los Angeles, California, United States",Active,For Profit,,,,,6.0,17.0,"Information Technology, Privacy and Security, Professional Services, Software","Cloud Security, Compliance, Cyber Security, Information Technology, SaaS",5.0,Late Stage Venture,2021-10-05,340000000.0,USD,340000000.0,Series C,Series C,340000000.0,USD,340000000.0,632000000.0,USD,632000000.0,,27.58,"20,070.5",184.0,,,,"Redpoint, Temasek Holdings, Stripes, GGV Capital, ICONIQ Growth"
